"product_id","warehouse_id","stock_level","reorder_point","status"
"PROD001","WH-N-01",682,155,"OK"
"PROD001","WH-N-02",361,125,"OK"
"PROD001","WH-S-01",607,148,"OK"
"PROD001","WH-S-02",1067,284,"OK"
"PROD001","WH-E-01",877,366,"OK"
"PROD001","WH-E-02",196,185,"OK"
"PROD001","WH-W-01",158,299,"Stockout Risk"
"PROD001","WH-W-02",986,259,"OK"
"PROD002","WH-N-01",1661,348,"OK"
"PROD002","WH-N-02",456,100,"OK"
"PROD002","WH-S-01",645,282,"OK"
"PROD002","WH-S-02",1742,395,"OK"
"PROD002","WH-E-01",705,193,"OK"
"PROD002","WH-E-02",425,141,"OK"
"PROD002","WH-W-01",111,112,"Stockout Risk"
"PROD002","WH-W-02",432,110,"OK"
"PROD003","WH-N-01",118,321,"Stockout Risk"
"PROD003","WH-N-02",543,256,"OK"
"PROD003","WH-S-01",159,272,"Stockout Risk"
"PROD003","WH-S-02",554,316,"OK"
"PROD003","WH-E-01",1115,279,"OK"
"PROD003","WH-E-02",577,326,"OK"
"PROD003","WH-W-01",572,241,"OK"
"PROD003","WH-W-02",548,377,"OK"
"PROD004","WH-N-01",693,288,"OK"
"PROD004","WH-N-02",313,108,"OK"
"PROD004","WH-S-01",1415,327,"OK"
"PROD004","WH-S-02",290,140,"OK"
"PROD004","WH-E-01",1582,357,"OK"
"PROD004","WH-E-02",223,221,"OK"
"PROD004","WH-W-01",1125,236,"OK"
"PROD004","WH-W-02",1139,272,"OK"
"PROD005","WH-N-01",488,374,"OK"
"PROD005","WH-N-02",390,224,"OK"
"PROD005","WH-S-01",1122,340,"OK"
"PROD005","WH-S-02",905,306,"OK"
"PROD005","WH-E-01",170,341,"Stockout Risk"
"PROD005","WH-E-02",597,296,"OK"
"PROD005","WH-W-01",948,265,"OK"
"PROD005","WH-W-02",454,372,"OK"
"PROD006","WH-N-01",1223,250,"OK"
"PROD006","WH-N-02",1688,387,"OK"
"PROD006","WH-S-01",1611,376,"OK"
"PROD006","WH-S-02",277,253,"OK"
"PROD006","WH-E-01",1141,279,"OK"
"PROD006","WH-E-02",267,144,"OK"
"PROD006","WH-W-01",905,313,"OK"
"PROD006","WH-W-02",1102,251,"OK"
"PROD007","WH-N-01",160,400,"Stockout Risk"
"PROD007","WH-N-02",189,292,"Stockout Risk"
"PROD007","WH-S-01",906,226,"OK"
"PROD007","WH-S-02",448,365,"OK"
"PROD007","WH-E-01",614,169,"OK"
"PROD007","WH-E-02",112,192,"Stockout Risk"
"PROD007","WH-W-01",652,181,"OK"
"PROD007","WH-W-02",575,324,"OK"
"PROD008","WH-N-01",1152,265,"OK"
"PROD008","WH-N-02",823,240,"OK"
"PROD008","WH-S-01",651,288,"OK"
"PROD008","WH-S-02",1222,370,"OK"
"PROD008","WH-E-01",1593,349,"OK"
"PROD008","WH-E-02",296,102,"OK"
"PROD008","WH-W-01",364,309,"OK"
"PROD008","WH-W-02",1249,312,"OK"
"PROD009","WH-N-01",536,184,"OK"
"PROD009","WH-N-02",592,122,"OK"
"PROD009","WH-S-01",1235,249,"OK"
"PROD009","WH-S-02",616,181,"OK"
"PROD009","WH-E-01",1093,269,"OK"
"PROD009","WH-E-02",948,246,"OK"
"PROD009","WH-W-01",103,241,"Stockout Risk"
"PROD009","WH-W-02",1206,320,"OK"
"PROD010","WH-N-01",1710,355,"OK"
"PROD010","WH-N-02",778,350,"OK"
"PROD010","WH-S-01",1328,287,"OK"
"PROD010","WH-S-02",511,111,"OK"
"PROD010","WH-E-01",750,194,"OK"
"PROD010","WH-E-02",663,172,"OK"
"PROD010","WH-W-01",470,339,"OK"
"PROD010","WH-W-02",664,137,"OK"
