"product_id","warehouse_id","total_demand","stock_level","reorder_point","risk_flag"
"PROD005","WH-E-02","6114",597,296,"Demand > Stock"
"PROD007","WH-W-02","6049",575,324,"Demand > Stock"
"PROD002","WH-S-02","5987",1742,395,"Demand > Stock"
"PROD010","WH-N-01","5466",1710,355,"Demand > Stock"
"PROD001","WH-S-02","5093",1067,284,"Demand > Stock"
"PROD007","WH-W-01","5056",652,181,"Demand > Stock"
"PROD009","WH-E-02","4810",948,246,"Demand > Stock"
"PROD003","WH-W-01","4265",572,241,"Demand > Stock"
"PROD005","WH-N-02","4260",390,224,"Demand > Stock"
"PROD003","WH-S-01","4259",159,272,"Demand > Stock"
"PROD006","WH-E-02","4253",267,144,"Demand > Stock"
"PROD005","WH-S-01","4129",1122,340,"Demand > Stock"
"PROD001","WH-N-02","4001",361,125,"Demand > Stock"
"PROD003","WH-N-02","3957",543,256,"Demand > Stock"
"PROD002","WH-E-01","3920",705,193,"Demand > Stock"
"PROD008","WH-N-02","3912",823,240,"Demand > Stock"
"PROD001","WH-N-01","3887",682,155,"Demand > Stock"
"PROD009","WH-S-02","3885",616,181,"Demand > Stock"
"PROD004","WH-N-01","3811",693,288,"Demand > Stock"
"PROD004","WH-S-01","3787",1415,327,"Demand > Stock"
"PROD007","WH-E-02","3720",112,192,"Demand > Stock"
"PROD010","WH-E-02","3654",663,172,"Demand > Stock"
"PROD001","WH-E-01","3623",877,366,"Demand > Stock"
"PROD008","WH-S-02","3594",1222,370,"Demand > Stock"
"PROD004","WH-E-01","3585",1582,357,"Demand > Stock"
"PROD002","WH-N-01","3553",1661,348,"Demand > Stock"
"PROD010","WH-W-02","3526",664,137,"Demand > Stock"
"PROD005","WH-W-02","3518",454,372,"Demand > Stock"
"PROD005","WH-S-02","3506",905,306,"Demand > Stock"
"PROD001","WH-W-02","3432",986,259,"Demand > Stock"
"PROD006","WH-W-02","3431",1102,251,"Demand > Stock"
"PROD002","WH-W-01","3402",111,112,"Demand > Stock"
"PROD009","WH-N-01","3402",536,184,"Demand > Stock"
"PROD010","WH-W-01","3302",470,339,"Demand > Stock"
"PROD008","WH-W-01","3259",364,309,"Demand > Stock"
"PROD009","WH-E-01","3211",1093,269,"Demand > Stock"
"PROD005","WH-W-01","3129",948,265,"Demand > Stock"
"PROD009","WH-W-01","3118",103,241,"Demand > Stock"
"PROD009","WH-S-01","2965",1235,249,"Demand > Stock"
"PROD006","WH-S-02","2955",277,253,"Demand > Stock"
"PROD007","WH-N-01","2930",160,400,"Demand > Stock"
"PROD004","WH-S-02","2922",290,140,"Demand > Stock"
"PROD010","WH-S-02","2898",511,111,"Demand > Stock"
"PROD003","WH-E-01","2887",1115,279,"Demand > Stock"
"PROD004","WH-W-02","2881",1139,272,"Demand > Stock"
"PROD002","WH-E-02","2822",425,141,"Demand > Stock"
"PROD003","WH-E-02","2740",577,326,"Demand > Stock"
"PROD007","WH-S-02","2724",448,365,"Demand > Stock"
"PROD008","WH-N-01","2668",1152,265,"Demand > Stock"
"PROD005","WH-E-01","2639",170,341,"Demand > Stock"
"PROD008","WH-E-01","2615",1593,349,"Demand > Stock"
"PROD003","WH-N-01","2548",118,321,"Demand > Stock"
"PROD003","WH-W-02","2546",548,377,"Demand > Stock"
"PROD007","WH-N-02","2545",189,292,"Demand > Stock"
"PROD009","WH-W-02","2543",1206,320,"Demand > Stock"
"PROD003","WH-S-02","2519",554,316,"Demand > Stock"
"PROD002","WH-W-02","2498",432,110,"Demand > Stock"
"PROD009","WH-N-02","2448",592,122,"Demand > Stock"
"PROD008","WH-S-01","2389",651,288,"Demand > Stock"
"PROD006","WH-W-01","2362",905,313,"Demand > Stock"
"PROD008","WH-E-02","2257",296,102,"Demand > Stock"
"PROD007","WH-S-01","2250",906,226,"Demand > Stock"
"PROD004","WH-W-01","2242",1125,236,"Demand > Stock"
"PROD008","WH-W-02","2239",1249,312,"Demand > Stock"
"PROD006","WH-N-02","2189",1688,387,"Demand > Stock"
"PROD006","WH-S-01","2184",1611,376,"Demand > Stock"
"PROD004","WH-E-02","2166",223,221,"Demand > Stock"
"PROD002","WH-N-02","2091",456,100,"Demand > Stock"
"PROD005","WH-N-01","1994",488,374,"Demand > Stock"
"PROD007","WH-E-01","1952",614,169,"Demand > Stock"
"PROD010","WH-S-01","1916",1328,287,"Demand > Stock"
"PROD006","WH-E-01","1870",1141,279,"Demand > Stock"
"PROD002","WH-S-01","1771",645,282,"Demand > Stock"
"PROD010","WH-E-01","1729",750,194,"Demand > Stock"
"PROD006","WH-N-01","1686",1223,250,"Demand > Stock"
"PROD001","WH-E-02","1638",196,185,"Demand > Stock"
"PROD010","WH-N-02","1603",778,350,"Demand > Stock"
"PROD004","WH-N-02","1555",313,108,"Demand > Stock"
"PROD001","WH-S-01","1524",607,148,"Demand > Stock"
"PROD001","WH-W-01","1013",158,299,"Demand > Stock"
