"product_id","warehouse_id","stock_level","reorder_point","status"
"PROD001","WH-N-01",682,155,"Safe"
"PROD001","WH-N-02",361,125,"Safe"
"PROD001","WH-S-01",607,148,"Safe"
"PROD001","WH-S-02",1067,284,"Safe"
"PROD001","WH-E-01",877,366,"Safe"
"PROD001","WH-E-02",196,185,"Safe"
"PROD001","WH-W-01",158,299,"Risk"
"PROD001","WH-W-02",986,259,"Safe"
"PROD002","WH-N-01",1661,348,"Safe"
"PROD002","WH-N-02",456,100,"Safe"
"PROD002","WH-S-01",645,282,"Safe"
"PROD002","WH-S-02",1742,395,"Safe"
"PROD002","WH-E-01",705,193,"Safe"
"PROD002","WH-E-02",425,141,"Safe"
"PROD002","WH-W-01",111,112,"Risk"
"PROD002","WH-W-02",432,110,"Safe"
"PROD003","WH-N-01",118,321,"Risk"
"PROD003","WH-N-02",543,256,"Safe"
"PROD003","WH-S-01",159,272,"Risk"
"PROD003","WH-S-02",554,316,"Safe"
"PROD003","WH-E-01",1115,279,"Safe"
"PROD003","WH-E-02",577,326,"Safe"
"PROD003","WH-W-01",572,241,"Safe"
"PROD003","WH-W-02",548,377,"Safe"
"PROD004","WH-N-01",693,288,"Safe"
"PROD004","WH-N-02",313,108,"Safe"
"PROD004","WH-S-01",1415,327,"Safe"
"PROD004","WH-S-02",290,140,"Safe"
"PROD004","WH-E-01",1582,357,"Safe"
"PROD004","WH-E-02",223,221,"Safe"
"PROD004","WH-W-01",1125,236,"Safe"
"PROD004","WH-W-02",1139,272,"Safe"
"PROD005","WH-N-01",488,374,"Safe"
"PROD005","WH-N-02",390,224,"Safe"
"PROD005","WH-S-01",1122,340,"Safe"
"PROD005","WH-S-02",905,306,"Safe"
"PROD005","WH-E-01",170,341,"Risk"
"PROD005","WH-E-02",597,296,"Safe"
"PROD005","WH-W-01",948,265,"Safe"
"PROD005","WH-W-02",454,372,"Safe"
"PROD006","WH-N-01",1223,250,"Safe"
"PROD006","WH-N-02",1688,387,"Safe"
"PROD006","WH-S-01",1611,376,"Safe"
"PROD006","WH-S-02",277,253,"Safe"
"PROD006","WH-E-01",1141,279,"Safe"
"PROD006","WH-E-02",267,144,"Safe"
"PROD006","WH-W-01",905,313,"Safe"
"PROD006","WH-W-02",1102,251,"Safe"
"PROD007","WH-N-01",160,400,"Risk"
"PROD007","WH-N-02",189,292,"Risk"
"PROD007","WH-S-01",906,226,"Safe"
"PROD007","WH-S-02",448,365,"Safe"
"PROD007","WH-E-01",614,169,"Safe"
"PROD007","WH-E-02",112,192,"Risk"
"PROD007","WH-W-01",652,181,"Safe"
"PROD007","WH-W-02",575,324,"Safe"
"PROD008","WH-N-01",1152,265,"Safe"
"PROD008","WH-N-02",823,240,"Safe"
"PROD008","WH-S-01",651,288,"Safe"
"PROD008","WH-S-02",1222,370,"Safe"
"PROD008","WH-E-01",1593,349,"Safe"
"PROD008","WH-E-02",296,102,"Safe"
"PROD008","WH-W-01",364,309,"Safe"
"PROD008","WH-W-02",1249,312,"Safe"
"PROD009","WH-N-01",536,184,"Safe"
"PROD009","WH-N-02",592,122,"Safe"
"PROD009","WH-S-01",1235,249,"Safe"
"PROD009","WH-S-02",616,181,"Safe"
"PROD009","WH-E-01",1093,269,"Safe"
"PROD009","WH-E-02",948,246,"Safe"
"PROD009","WH-W-01",103,241,"Risk"
"PROD009","WH-W-02",1206,320,"Safe"
"PROD010","WH-N-01",1710,355,"Safe"
"PROD010","WH-N-02",778,350,"Safe"
"PROD010","WH-S-01",1328,287,"Safe"
"PROD010","WH-S-02",511,111,"Safe"
"PROD010","WH-E-01",750,194,"Safe"
"PROD010","WH-E-02",663,172,"Safe"
"PROD010","WH-W-01",470,339,"Safe"
"PROD010","WH-W-02",664,137,"Safe"
