"product_id","warehouse_id","total_demand","stock_level","status"
"PROD003","WH-E-02","2740",577,"Understocked"
"PROD008","WH-N-01","2668",1152,"Understocked"
"PROD007","WH-N-02","2545",189,"Understocked"
"PROD002","WH-S-02","5987",1742,"Understocked"
"PROD007","WH-S-01","2250",906,"Understocked"
"PROD007","WH-N-01","2930",160,"Understocked"
"PROD004","WH-E-01","3585",1582,"Understocked"
"PROD010","WH-E-01","1729",750,"Understocked"
"PROD005","WH-N-02","4260",390,"Understocked"
"PROD001","WH-W-01","1013",158,"Understocked"
"PROD002","WH-W-01","3402",111,"Understocked"
"PROD004","WH-W-02","2881",1139,"Understocked"
"PROD009","WH-S-02","3885",616,"Understocked"
"PROD004","WH-S-01","3787",1415,"Understocked"
"PROD006","WH-N-01","1686",1223,"Understocked"
"PROD007","WH-W-02","6049",575,"Understocked"
"PROD003","WH-N-01","2548",118,"Understocked"
"PROD003","WH-S-02","2519",554,"Understocked"
"PROD001","WH-N-02","4001",361,"Understocked"
"PROD006","WH-W-02","3431",1102,"Understocked"
"PROD005","WH-W-01","3129",948,"Understocked"
"PROD008","WH-E-02","2257",296,"Understocked"
"PROD003","WH-S-01","4259",159,"Understocked"
"PROD001","WH-E-01","3623",877,"Understocked"
"PROD002","WH-S-01","1771",645,"Understocked"
"PROD006","WH-E-01","1870",1141,"Understocked"
"PROD004","WH-W-01","2242",1125,"Understocked"
"PROD009","WH-N-02","2448",592,"Understocked"
"PROD007","WH-E-01","1952",614,"Understocked"
"PROD005","WH-E-02","6114",597,"Understocked"
"PROD009","WH-W-01","3118",103,"Understocked"
"PROD004","WH-N-01","3811",693,"Understocked"
"PROD009","WH-S-01","2965",1235,"Understocked"
"PROD001","WH-N-01","3887",682,"Understocked"
"PROD010","WH-E-02","3654",663,"Understocked"
"PROD005","WH-S-02","3506",905,"Understocked"
"PROD008","WH-N-02","3912",823,"Understocked"
"PROD010","WH-W-02","3526",664,"Understocked"
"PROD005","WH-E-01","2639",170,"Understocked"
"PROD004","WH-S-02","2922",290,"Understocked"
"PROD008","WH-S-02","3594",1222,"Understocked"
"PROD007","WH-S-02","2724",448,"Understocked"
"PROD006","WH-S-02","2955",277,"Understocked"
"PROD010","WH-S-01","1916",1328,"Understocked"
"PROD003","WH-W-02","2546",548,"Understocked"
"PROD006","WH-N-02","2189",1688,"Understocked"
"PROD007","WH-E-02","3720",112,"Understocked"
"PROD004","WH-N-02","1555",313,"Understocked"
"PROD009","WH-E-02","4810",948,"Understocked"
"PROD002","WH-N-02","2091",456,"Understocked"
"PROD010","WH-N-02","1603",778,"Understocked"
"PROD006","WH-E-02","4253",267,"Understocked"
"PROD010","WH-W-01","3302",470,"Understocked"
"PROD009","WH-E-01","3211",1093,"Understocked"
"PROD002","WH-E-01","3920",705,"Understocked"
"PROD009","WH-W-02","2543",1206,"Understocked"
"PROD002","WH-W-02","2498",432,"Understocked"
"PROD008","WH-S-01","2389",651,"Understocked"
"PROD005","WH-W-02","3518",454,"Understocked"
"PROD001","WH-W-02","3432",986,"Understocked"
"PROD005","WH-N-01","1994",488,"Understocked"
"PROD009","WH-N-01","3402",536,"Understocked"
"PROD004","WH-E-02","2166",223,"Understocked"
"PROD010","WH-S-02","2898",511,"Understocked"
"PROD002","WH-N-01","3553",1661,"Understocked"
"PROD001","WH-S-02","5093",1067,"Understocked"
"PROD003","WH-E-01","2887",1115,"Understocked"
"PROD007","WH-W-01","5056",652,"Understocked"
"PROD008","WH-W-01","3259",364,"Understocked"
"PROD003","WH-N-02","3957",543,"Understocked"
"PROD006","WH-W-01","2362",905,"Understocked"
"PROD010","WH-N-01","5466",1710,"Understocked"
"PROD005","WH-S-01","4129",1122,"Understocked"
"PROD008","WH-E-01","2615",1593,"Understocked"
"PROD006","WH-S-01","2184",1611,"Understocked"
"PROD001","WH-S-01","1524",607,"Understocked"
"PROD001","WH-E-02","1638",196,"Understocked"
"PROD002","WH-E-02","2822",425,"Understocked"
"PROD003","WH-W-01","4265",572,"Understocked"
"PROD008","WH-W-02","2239",1249,"Understocked"
